"name","number"
"BBC One","101"
"BBC Two","102"
"ITV1","103"
"Channel 4","104"
"Channel 5","105"
"SkyShowcaseHD","106"
"Sky Witness HD","107"
"Sky Atlantic HD","108"
"alibi HD","109"
"GOLD HD","110"
"Dave HD","111"
"ComedyCentHD","112"
"Sky Max HD","113"
"Sky Comedy HD","114"
"BBC Three","115"
"BBC Four","116"
"London Live","117"
"ITV2","118"
"ITV3","119"
"ITV4","120"
"SkyDocmntrsHD","121"
"Sky Crime HD","122"
"Sky HistoryHD","123"
"Sky Nature HD","124"
"Discovery HD","125"
"MTV HD","126"
"ComedyXtra","127"
"5STAR","128"
"Nat Geo HD","129"
"Sky Arts HD","130"
"ITVBe","131"
"W HD","132"
"TLC HD","133"
"S4C","134"
"E4 HD","135"
"More4 HD","136"
"4seven","137"
"E4 Extra","138"
"Sky Sci-Fi HD","139"
"Food Network","140"
"5 USA","141"
"Really","142"
"Drama","143"
"QUEST","144"
"Challenge","145"
"CBS Reality","146"
"RealityXtra","147"
"Legend","148"
"Quest Red","149"
"5ACTION","150"
"Pick","151"
"Sky Replay","152"
"5SELECT","153"
"ID","154"
"YESTERDAY HD","155"
"Crime+Inv HD","156"
"GREAT! tv","157"
"HGTV","158"
"E! HD","159"
"Disc.Turbo","161"
"Animal Planet","162"
"SkyHistory2HD","163"
"BLAZE","164"
"NatGeoWild HD","165"
"Eden","166"
"Disc.Science","167"
"BBC ALBA","169"
"Together","170"
"DMAX","172"
"PBS America","174"
"Disc.History","177"
"Court TV","179"
"EarthxTV HD","180"
"Channel 7","181"
"Travelxp","182"
"That's TV","183"
"Ayozat TV","186"
"BBC Scotland","187"
"NTD","190"
"ITV1+1","203"
"Channel 4+1","204"
"Channel 5+1","205"
"SkyShowcase+1","206"
"Sky Witness+1","207"
"Sky Atlantic+1","208"
"alibi+1","209"
"GOLD+1","210"
"Dave ja vu","211"
"ComedyCent+1","212"
"ITV2+1","218"
"ITV3+1","219"
"ITV4+1","220"
"Sky Crime+1","222"
"Sky History+1","223"
"Discovery+1","225"
"5STAR+1","228"
"Nat Geo+1","229"
"W+1","232"
"TLC+1","233"
"E4+1","235"
"More4+1","236"
"Food Netwrk+1","240"
"5USA+1","241"
"Drama+1","243"
"QUEST+1","244"
"CBS Reality+1","246"
"Quest Red+1","249"
"ID+1","254"
"YESTERDAY+1","255"
"Crime+Inv+1","256"
"GREAT! tv+1","257"
"HGTV+1","258"
"Disc.Turbo+1","261"
"Animal Plnt+1","262"
"Eden+1","266"
"Disc.Sci+1","267"
"DMAX+1","272"
"Disc.History+1","277"
"Sky Premiere","301"
"Best of 90s HD","302"
"Sky Hits HD","303"
"Sky Greats","304"
"SkyAnimationHD","305"
"Sky Family","306"
"Sky Action","307"
"Sky Comedy HD","308"
"Sky Thriller HD","309"
"Sky Drama HD","310"
"Sky ScFi/HorHD","311"
"SkyPremiere+1","312"
"Film4 HD","313"
"Film4+1","314"
"TCM Movies","315"
"TCM Movies+1","316"
"HorrorXtra","317"
"HorrorXtra+1","318"
"GREAT! romance","319"
"G! romance+1","320"
"GREAT! movies","321"
"GREAT! movies+1","322"
"GREAT! action","323"
"GREAT!action+1","324"
"Movies24","325"
"Movies24+","326"
"TalkingPictures","328"
"ROK","329"
"MTV MUSIC","350"
"MTV HITS","351"
"MTV 90s","352"
"MTV 80s","353"
"4Music","354"
"The Box","355"
"KISS","356"
"Magic","357"
"Kerrang!","358"
"Trace Hits","359"
"Trace Vault","360"
"NOW 70s","361"
"NOW 80s","362"
"NOW ROCK","363"
"Clubland TV","364"
"That's 60s","365"
"SkySpMainEv","401"
"SkySp PL","402"
"SkySp F'ball","403"
"SkySp Cricket","404"
"SkySp Golf","405"
"SkySp F1","406"
"SkySp Action","407"
"SkySp Arena","408"
"SkySp News HD","409"
"Eurosport 1 HD","410"
"Eurosport 2 HD","411"
"Viaplay 1 HD","412"
"BT Sport 1","413"
"BT Sport 2","414"
"SkySp Racing","415"
"SkySp Mix HD","416"
"BT Sport 3","417"
"MUTV HD","418"
"Viaplay 2 HD","421"
"ViaplayXtraHD","422"
"BT Sport 4","423"
"LFCTV HD","425"
"Racing TV","426"
"GINXeSportsTV","433"
"SportyStuff HD","437"
"BTSptBoxOffHD","490"
"SkySpBoxOff","491"
"BTSBoxOff2HD","494"
"Sky News HD","501"
"Bloomberg HD","502"
"BBC NEWS","503"
"BBC Parliament","504"
"CNBC","505"
"CNN","506"
"NHK World HD","507"
"Euronews","508"
"NDTV 24x7","509"
"FRANCE 24 HD","510"
"Al Jazeera HD","511"
"GB News HD","512"
"TRT World","513"
"Channels 24","515"
"Arirang TV HD","518"
"WION HD","519"
"TVC News","520"
"NBCNewsNowHD","521"
"TalkTV HD","522"
"GOD Channel","580"
"revelation","581"
"TBN UK","582"
"DAYSTAR HD","583"
"Inspiration TV","584"
"LoveWorld HD","585"
"EWTN Catholic","586"
"Word Network","587"
"Faith World TV","588"
"KICC TV","589"
"Faith UK","590"
"SonLife","593"
"New Media HD","594"
"Cartoon Net HD","601"
"CN+1","602"
"Boomerang HD","603"
"NickelodeonHD","604"
"NickSpongeBob","605"
"Nick Jr. HD","606"
"CBBC","607"
"CBeebies","608"
"Sky Kids HD","609"
"Cartoonito","610"
"Boomerang+1","611"
"CITV","612"
"Nick Jr. Too","613"
"POP","614"
